date,node_id,value
2026-01-05,D001,97.9
2026-01-12,D001,104.9
2026-01-19,D001,106.5
2026-01-26,D001,124.8
2026-02-05,D001,122.5
2026-02-12,D001,125.5
2026-02-19,D001,120.0
2026-02-26,D001,132.0
2026-03-05,D001,128.4
2026-03-12,D001,125.9
2026-03-19,D001,114.3
2026-03-26,D001,115.4
2026-04-05,D001,117.0
2026-04-12,D001,124.1
2026-04-19,D001,115.2
2026-04-26,D001,107.9
2026-05-05,D001,111.1
2026-05-12,D001,114.1
2026-05-19,D001,108.7
2026-05-26,D001,113.5
2026-06-05,D001,111.1
2026-06-12,D001,114.3
2026-06-19,D001,127.0
2026-06-26,D001,129.7
2026-07-05,D001,116.6
2026-07-12,D001,136.2
2026-01-05,D002,110.7
2026-01-12,D002,111.0
2026-01-19,D002,111.4
2026-01-26,D002,97.3
2026-02-05,D002,113.7
2026-02-12,D002,126.3
2026-02-19,D002,123.5
2026-02-26,D002,129.8
2026-03-05,D002,137.9
2026-03-12,D002,124.9
2026-03-19,D002,123.2
2026-03-26,D002,94.8
2026-04-05,D002,127.7
2026-04-12,D002,127.9
2026-04-19,D002,121.2
2026-04-26,D002,115.3
2026-05-05,D002,133.9
2026-05-12,D002,123.8
2026-05-19,D002,136.9
2026-05-26,D002,125.5
2026-06-05,D002,108.3
2026-06-12,D002,117.0
2026-06-19,D002,119.2
2026-06-26,D002,122.9
2026-07-05,D002,124.1
2026-07-12,D002,121.0
2026-01-05,D003,92.4
2026-01-12,D003,78.7
2026-01-19,D003,95.3
2026-01-26,D003,116.3
2026-02-05,D003,123.3
2026-02-12,D003,132.8
2026-02-19,D003,129.6
2026-02-26,D003,121.9
2026-03-05,D003,132.6
2026-03-12,D003,119.7
2026-03-19,D003,125.9
2026-03-26,D003,155.3
2026-04-05,D003,107.0
2026-04-12,D003,120.2
2026-04-19,D003,133.5
2026-04-26,D003,131.8
2026-05-05,D003,107.6
2026-05-12,D003,102.7
2026-05-19,D003,124.7
2026-05-26,D003,113.7
2026-06-05,D003,103.9
2026-06-12,D003,109.2
2026-06-19,D003,125.3
2026-06-26,D003,108.6
2026-07-05,D003,121.0
2026-07-12,D003,129.3
