date,node_id,value
2026-01-05,S001,78.5
2026-01-12,S001,89.3
2026-01-19,S001,111.5
2026-01-26,S001,110.3
2026-02-05,S001,101.2
2026-02-12,S001,107.5
2026-02-19,S001,119.3
2026-02-26,S001,111.3
2026-03-05,S001,133.5
2026-03-12,S001,104.6
2026-03-19,S001,136.8
2026-03-26,S001,115.9
2026-04-05,S001,99.5
2026-04-12,S001,98.3
2026-04-19,S001,128.4
2026-04-26,S001,104.4
2026-05-05,S001,98.2
2026-05-12,S001,98.3
2026-05-19,S001,119.8
2026-05-26,S001,93.6
2026-06-05,S001,120.0
2026-06-12,S001,96.0
2026-06-19,S001,107.5
2026-06-26,S001,131.0
2026-07-05,S001,131.5
2026-07-12,S001,131.4
2026-01-05,S002,85.2
2026-01-12,S002,74.0
2026-01-19,S002,91.6
2026-01-26,S002,90.9
2026-02-05,S002,124.3
2026-02-12,S002,108.0
2026-02-19,S002,126.7
2026-02-26,S002,129.0
2026-03-05,S002,123.4
2026-03-12,S002,107.7
2026-03-19,S002,106.7
2026-03-26,S002,103.7
2026-04-05,S002,116.4
2026-04-12,S002,86.7
2026-04-19,S002,123.9
2026-04-26,S002,117.9
2026-05-05,S002,44.9
2026-05-12,S002,52.0
2026-05-19,S002,55.5
2026-05-26,S002,40.3
2026-06-05,S002,56.9
2026-06-12,S002,53.2
2026-06-19,S002,84.0
2026-06-26,S002,76.2
2026-07-05,S002,102.4
2026-07-12,S002,60.0
