date,node_id,value
2026-01-05,S001,85.2
2026-01-12,S001,92.2
2026-01-19,S001,94.0
2026-01-26,S001,96.4
2026-02-05,S001,85.9
2026-02-12,S001,89.2
2026-02-19,S001,87.2
2026-02-26,S001,102.4
2026-03-05,S001,114.0
2026-03-12,S001,112.8
2026-03-19,S001,88.1
2026-03-26,S001,123.2
2026-04-05,S001,116.1
2026-04-12,S001,106.1
2026-04-19,S001,75.9
2026-04-26,S001,85.0
2026-05-05,S001,103.4
2026-05-12,S001,72.3
2026-05-19,S001,79.1
2026-05-26,S001,96.8
2026-06-05,S001,105.3
2026-06-12,S001,88.2
2026-06-19,S001,101.9
2026-06-26,S001,82.8
2026-07-05,S001,109.9
2026-07-12,S001,86.3
2026-01-05,S002,92.8
2026-01-12,S002,77.9
2026-01-19,S002,106.9
2026-01-26,S002,90.3
2026-02-05,S002,107.4
2026-02-12,S002,95.6
2026-02-19,S002,96.3
2026-02-26,S002,104.8
2026-03-05,S002,88.3
2026-03-12,S002,125.6
2026-03-19,S002,103.2
2026-03-26,S002,130.0
2026-04-05,S002,95.5
2026-04-12,S002,88.4
2026-04-19,S002,84.4
2026-04-26,S002,81.8
2026-05-05,S002,10.4
2026-05-12,S002,10.2
2026-05-19,S002,11.2
2026-05-26,S002,11.0
2026-06-05,S002,12.6
2026-06-12,S002,11.9
2026-06-19,S002,11.1
2026-06-26,S002,13.2
2026-07-05,S002,13.9
2026-07-12,S002,13.4
2026-01-05,P001,64.7
2026-01-12,P001,82.4
2026-01-19,P001,91.4
2026-01-26,P001,121.7
2026-02-05,P001,107.1
2026-02-12,P001,174.6
2026-02-19,P001,142.1
2026-02-26,P001,90.1
2026-03-05,P001,149.5
2026-03-12,P001,76.4
2026-03-19,P001,189.7
2026-03-26,P001,174.5
2026-04-05,P001,98.4
2026-04-12,P001,103.4
2026-04-19,P001,139.5
2026-04-26,P001,108.2
2026-05-05,P001,119.3
2026-05-12,P001,96.2
2026-05-19,P001,104.9
2026-05-26,P001,115.6
2026-06-05,P001,96.2
2026-06-12,P001,86.2
2026-06-19,P001,61.7
2026-06-26,P001,114.1
2026-07-05,P001,55.0
2026-07-12,P001,104.9
2026-01-05,P002,72.8
2026-01-12,P002,76.2
2026-01-19,P002,88.9
2026-01-26,P002,94.9
2026-02-05,P002,80.4
2026-02-12,P002,103.3
2026-02-19,P002,97.8
2026-02-26,P002,104.6
2026-03-05,P002,131.5
2026-03-12,P002,108.4
2026-03-19,P002,107.9
2026-03-26,P002,120.0
2026-04-05,P002,105.4
2026-04-12,P002,118.1
2026-04-19,P002,96.2
2026-04-26,P002,95.9
2026-05-05,P002,93.0
2026-05-12,P002,93.0
2026-05-19,P002,89.2
2026-05-26,P002,96.9
2026-06-05,P002,86.1
2026-06-12,P002,93.2
2026-06-19,P002,86.4
2026-06-26,P002,108.9
2026-07-05,P002,106.8
2026-07-12,P002,136.1
2026-01-05,D001,87.1
2026-01-12,D001,73.0
2026-01-19,D001,102.9
2026-01-26,D001,100.1
2026-02-05,D001,115.8
2026-02-12,D001,80.6
2026-02-19,D001,115.4
2026-02-26,D001,123.2
2026-03-05,D001,98.0
2026-03-12,D001,114.3
2026-03-19,D001,100.6
2026-03-26,D001,107.6
2026-04-05,D001,111.2
2026-04-12,D001,113.2
2026-04-19,D001,72.7
2026-04-26,D001,111.5
2026-05-05,D001,74.3
2026-05-12,D001,69.2
2026-05-19,D001,83.6
2026-05-26,D001,82.2
2026-06-05,D001,86.4
2026-06-12,D001,98.1
2026-06-19,D001,82.3
2026-06-26,D001,100.1
2026-07-05,D001,123.9
2026-07-12,D001,99.5
2026-01-05,D002,76.4
2026-01-12,D002,64.3
2026-01-19,D002,99.8
2026-01-26,D002,70.5
2026-02-05,D002,110.2
2026-02-12,D002,120.4
2026-02-19,D002,109.4
2026-02-26,D002,131.3
2026-03-05,D002,81.7
2026-03-12,D002,85.7
2026-03-19,D002,112.5
2026-03-26,D002,99.6
2026-04-05,D002,110.0
2026-04-12,D002,82.7
2026-04-19,D002,78.2
2026-04-26,D002,111.3
2026-05-05,D002,109.5
2026-05-12,D002,86.7
2026-05-19,D002,74.1
2026-05-26,D002,120.1
2026-06-05,D002,82.4
2026-06-12,D002,80.9
2026-06-19,D002,72.5
2026-06-26,D002,112.7
2026-07-05,D002,86.8
2026-07-12,D002,87.5
2026-01-05,D003,89.1
2026-01-12,D003,71.5
2026-01-19,D003,72.4
2026-01-26,D003,80.4
2026-02-05,D003,111.2
2026-02-12,D003,113.9
2026-02-19,D003,109.1
2026-02-26,D003,77.2
2026-03-05,D003,99.7
2026-03-12,D003,101.5
2026-03-19,D003,81.5
2026-03-26,D003,102.0
2026-04-05,D003,111.3
2026-04-12,D003,101.1
2026-04-19,D003,81.0
2026-04-26,D003,117.3
2026-05-05,D003,96.6
2026-05-12,D003,103.3
2026-05-19,D003,89.7
2026-05-26,D003,66.5
2026-06-05,D003,78.6
2026-06-12,D003,93.8
2026-06-19,D003,89.4
2026-06-26,D003,110.2
2026-07-05,D003,120.3
2026-07-12,D003,87.0
2026-01-05,R001,65.0
2026-01-12,R001,91.3
2026-01-19,R001,95.0
