date,node_id,value
2026-01-05,S001,97.4
2026-01-12,S001,85.7
2026-01-19,S001,107.3
2026-01-26,S001,107.5
2026-02-05,S001,114.8
2026-02-12,S001,108.3
2026-02-19,S001,102.5
2026-02-26,S001,100.0
2026-03-05,S001,116.7
2026-03-12,S001,122.1
2026-03-19,S001,117.4
2026-03-26,S001,106.9
2026-04-05,S001,108.2
2026-04-12,S001,103.9
2026-04-19,S001,96.8
2026-04-26,S001,113.4
2026-05-05,S001,107.2
2026-05-12,S001,102.8
2026-05-19,S001,96.8
2026-05-26,S001,111.9
2026-06-05,S001,117.3
2026-06-12,S001,106.8
2026-06-19,S001,109.5
2026-06-26,S001,124.7
2026-07-05,S001,129.9
2026-07-12,S001,109.7
2026-01-05,S002,96.7
2026-01-12,S002,106.9
2026-01-19,S002,87.9
2026-01-26,S002,119.4
2026-02-05,S002,129.0
2026-02-12,S002,103.2
2026-02-19,S002,123.1
2026-02-26,S002,126.1
2026-03-05,S002,127.5
2026-03-12,S002,98.5
2026-03-19,S002,123.4
2026-03-26,S002,117.2
2026-04-05,S002,114.1
2026-04-12,S002,120.0
2026-04-19,S002,101.6
2026-04-26,S002,96.7
2026-05-05,S002,37.9
2026-05-12,S002,55.0
2026-05-19,S002,44.5
2026-05-26,S002,42.8
2026-06-05,S002,58.7
2026-06-12,S002,50.2
2026-06-19,S002,59.6
2026-06-26,S002,60.2
2026-07-05,S002,67.1
2026-07-12,S002,65.6
2026-01-05,P001,67.0
2026-01-12,P001,128.1
2026-01-19,P001,168.6
2026-01-26,P001,130.0
2026-02-05,P001,129.3
2026-02-12,P001,99.6
2026-02-19,P001,132.6
2026-02-26,P001,141.1
2026-03-05,P001,145.0
2026-03-12,P001,132.2
2026-03-19,P001,127.5
2026-03-26,P001,157.0
2026-04-05,P001,186.7
2026-04-12,P001,126.3
2026-04-19,P001,110.7
2026-04-26,P001,144.5
2026-05-05,P001,89.0
2026-05-12,P001,119.2
2026-05-19,P001,84.7
2026-05-26,P001,106.3
2026-06-05,P001,87.0
2026-06-12,P001,72.5
2026-06-19,P001,73.5
2026-06-26,P001,70.8
2026-07-05,P001,73.3
2026-07-12,P001,67.3
2026-01-05,P002,98.0
2026-01-12,P002,98.3
2026-01-19,P002,88.2
2026-01-26,P002,114.7
2026-02-05,P002,106.6
2026-02-12,P002,103.6
2026-02-19,P002,107.4
2026-02-26,P002,102.0
2026-03-05,P002,125.3
2026-03-12,P002,123.3
2026-03-19,P002,114.8
2026-03-26,P002,134.9
2026-04-05,P002,103.2
2026-04-12,P002,98.1
2026-04-19,P002,120.7
2026-04-26,P002,100.5
2026-05-05,P002,117.1
2026-05-12,P002,100.3
2026-05-19,P002,94.8
2026-05-26,P002,108.4
2026-06-05,P002,109.6
2026-06-12,P002,96.1
2026-06-19,P002,112.6
2026-06-26,P002,114.6
2026-07-05,P002,110.4
2026-07-12,P002,126.7
