date,node_id,value
2026-01-05,S001,99.3
2026-01-12,S001,104.2
2026-01-19,S001,109.4
2026-01-26,S001,118.0
2026-02-05,S001,117.7
2026-02-12,S001,114.0
2026-02-19,S001,125.6
2026-02-26,S001,124.1
2026-03-05,S001,124.9
2026-03-12,S001,126.4
2026-03-19,S001,126.1
2026-03-26,S001,129.3
2026-04-05,S001,124.9
2026-04-12,S001,120.1
2026-04-19,S001,113.7
2026-04-26,S001,110.5
2026-05-05,S001,115.3
2026-05-12,S001,119.7
2026-05-19,S001,113.2
2026-05-26,S001,113.1
2026-06-05,S001,117.8
2026-06-12,S001,110.2
2026-06-19,S001,119.1
2026-06-26,S001,127.0
2026-07-05,S001,133.4
2026-07-12,S001,132.7
2026-01-05,S002,103.0
2026-01-12,S002,107.1
2026-01-19,S002,116.2
2026-01-26,S002,105.5
2026-02-05,S002,122.9
2026-02-12,S002,109.4
2026-02-19,S002,102.9
2026-02-26,S002,120.5
2026-03-05,S002,118.7
2026-03-12,S002,132.9
2026-03-19,S002,130.3
2026-03-26,S002,113.7
2026-04-05,S002,128.4
2026-04-12,S002,111.5
2026-04-19,S002,116.7
2026-04-26,S002,113.2
2026-05-05,S002,46.5
2026-05-12,S002,54.1
2026-05-19,S002,54.8
2026-05-26,S002,55.1
2026-06-05,S002,60.5
2026-06-12,S002,62.6
2026-06-19,S002,57.7
2026-06-26,S002,61.5
2026-07-05,S002,68.5
2026-07-12,S002,81.7
2026-01-05,P001,93.7
2026-01-12,P001,170.7
2026-01-19,P001,103.7
2026-01-26,P001,107.7
2026-02-05,P001,164.1
2026-02-12,P001,188.6
2026-02-19,P001,172.0
2026-02-26,P001,184.5
2026-03-05,P001,201.4
2026-03-12,P001,163.4
2026-03-19,P001,128.2
2026-03-26,P001,146.6
2026-04-05,P001,178.3
2026-04-12,P001,111.7
2026-04-19,P001,141.0
2026-04-26,P001,138.3
2026-05-05,P001,115.7
2026-05-12,P001,133.7
2026-05-19,P001,122.7
2026-05-26,P001,159.7
2026-06-05,P001,112.0
2026-06-12,P001,77.6
2026-06-19,P001,76.7
2026-06-26,P001,69.5
2026-07-05,P001,115.4
2026-07-12,P001,80.4
2026-01-05,P002,99.4
2026-01-12,P002,111.1
2026-01-19,P002,104.2
2026-01-26,P002,112.1
2026-02-05,P002,103.6
2026-02-12,P002,112.9
2026-02-19,P002,119.3
2026-02-26,P002,128.7
2026-03-05,P002,135.6
2026-03-12,P002,125.7
2026-03-19,P002,127.0
2026-03-26,P002,124.8
2026-04-05,P002,130.3
2026-04-12,P002,126.6
2026-04-19,P002,119.6
2026-04-26,P002,107.4
2026-05-05,P002,121.3
2026-05-12,P002,116.2
2026-05-19,P002,122.8
2026-05-26,P002,113.4
2026-06-05,P002,130.7
2026-06-12,P002,114.6
2026-06-19,P002,133.4
2026-06-26,P002,125.5
2026-07-05,P002,124.9
2026-07-12,P002,124.9
2026-01-05,D001,99.5
2026-01-12,D001,109.4
2026-01-19,D001,112.4
2026-01-26,D001,116.5
2026-02-05,D001,111.2
2026-02-12,D001,123.7
2026-02-19,D001,125.6
2026-02-26,D001,123.7
2026-03-05,D001,124.1
2026-03-12,D001,125.8
2026-03-19,D001,130.1
2026-03-26,D001,120.3
2026-04-05,D001,120.3
2026-04-12,D001,123.6
2026-04-19,D001,116.1
2026-04-26,D001,114.4
2026-05-05,D001,114.3
2026-05-12,D001,109.4
2026-05-19,D001,113.6
2026-05-26,D001,110.0
2026-06-05,D001,117.8
2026-06-12,D001,117.5
2026-06-19,D001,127.5
2026-06-26,D001,125.4
2026-07-05,D001,133.1
2026-07-12,D001,130.0
2026-01-05,D002,99.0
2026-01-12,D002,107.7
2026-01-19,D002,123.9
2026-01-26,D002,101.0
2026-02-05,D002,126.3
2026-02-12,D002,126.3
2026-02-19,D002,136.2
2026-02-26,D002,131.1
2026-03-05,D002,126.4
2026-03-12,D002,121.7
2026-03-19,D002,115.0
2026-03-26,D002,125.0
2026-04-05,D002,120.1
2026-04-12,D002,135.7
2026-04-19,D002,112.5
2026-04-26,D002,118.1
2026-05-05,D002,101.5
2026-05-12,D002,110.0
2026-05-19,D002,115.1
2026-05-26,D002,120.2
2026-06-05,D002,126.7
2026-06-12,D002,117.1
2026-06-19,D002,111.7
2026-06-26,D002,128.2
2026-07-05,D002,133.2
2026-07-12,D002,137.8
2026-01-05,D003,91.6
2026-01-12,D003,118.7
2026-01-19,D003,111.0
2026-01-26,D003,122.8
2026-02-05,D003,133.6
2026-02-12,D003,128.8
2026-02-19,D003,127.3
2026-02-26,D003,151.2
2026-03-05,D003,128.9
2026-03-12,D003,122.3
2026-03-19,D003,126.3
2026-03-26,D003,141.3
2026-04-05,D003,123.0
2026-04-12,D003,125.7
2026-04-19,D003,131.8
2026-04-26,D003,109.4
2026-05-05,D003,93.3
2026-05-12,D003,116.7
2026-05-19,D003,115.7
2026-05-26,D003,106.3
2026-06-05,D003,125.6
2026-06-12,D003,124.8
2026-06-19,D003,108.7
2026-06-26,D003,130.8
2026-07-05,D003,126.7
2026-07-12,D003,116.1
2026-01-05,R001,103.6
2026-01-12,R001,104.7
2026-01-19,R001,104.0
2026-01-26,R001,118.6
2026-02-05,R001,122.2
2026-02-12,R001,116.9
2026-02-19,R001,127.1
2026-02-26,R001,133.5
2026-03-05,R001,120.3
2026-03-12,R001,128.9
2026-03-19,R001,125.0
2026-03-26,R001,141.6
2026-04-05,R001,106.7
2026-04-12,R001,125.1
2026-04-19,R001,115.0
2026-04-26,R001,114.7
2026-05-05,R001,129.3
2026-05-12,R001,113.1
2026-05-19,R001,130.9
2026-05-26,R001,110.1
2026-06-05,R001,117.9
2026-06-12,R001,113.5
2026-06-19,R001,115.1
2026-06-26,R001,125.1
2026-07-05,R001,126.8
2026-07-12,R001,135.5
2026-01-05,R002,101.6
2026-01-12,R002,119.5
2026-01-19,R002,112.3
2026-01-26,R002,121.3
2026-02-05,R002,111.5
2026-02-12,R002,117.6
2026-02-19,R002,129.8
2026-02-26,R002,114.1
2026-03-05,R002,111.8
2026-03-12,R002,115.6
2026-03-19,R002,119.4
2026-03-26,R002,119.8
2026-04-05,R002,121.6
2026-04-12,R002,114.8
2026-04-19,R002,108.8
2026-04-26,R002,112.9
2026-05-05,R002,119.2
2026-05-12,R002,115.8
2026-05-19,R002,106.1
2026-05-26,R002,113.9
2026-06-05,R002,120.1
2026-06-12,R002,123.7
2026-06-19,R002,118.4
2026-06-26,R002,118.6
2026-07-05,R002,113.7
2026-07-12,R002,116.8
2026-01-05,R003,60.3
2026-01-12,R003,65.7
2026-01-19,R003,68.8
2026-01-26,R003,64.8
2026-02-05,R003,62.9
2026-02-12,R003,66.8
2026-02-19,R003,65.9
2026-02-26,R003,77.6
2026-03-05,R003,60.3
2026-03-12,R003,72.3
2026-03-19,R003,76.7
2026-03-26,R003,82.5
2026-04-05,R003,73.0
2026-04-12,R003,77.7
2026-04-19,R003,68.4
2026-04-26,R003,65.5
2026-05-05,R003,65.4
2026-05-12,R003,78.3
2026-05-19,R003,75.2
2026-05-26,R003,72.6
2026-06-05,R003,90.5
2026-06-12,R003,71.7
2026-06-19,R003,77.3
2026-06-26,R003,77.6
2026-07-05,R003,76.8
2026-07-12,R003,94.6
