source_node_id,target_node_id,edge_type,transport_mode,lead_time_days
SUP_01,MFG_01,supply,铁路,14
SUP_01,MFG_06,supply,铁路,10
SUP_01,MFG_04,supply,铁路,13
SUP_01,MFG_05,supply,公路,12
SUP_02,MFG_04,supply,公路,9
SUP_02,MFG_05,supply,铁路,14
SUP_02,MFG_01,supply,海运,10
SUP_02,MFG_02,supply,铁路,10
SUP_03,MFG_02,supply,公路,13
SUP_03,MFG_01,supply,铁路,2
SUP_03,MFG_05,supply,公路,14
SUP_03,MFG_03,supply,公路,7
SUP_04,MFG_03,supply,铁路,6
SUP_04,MFG_04,supply,公路,11
SUP_04,MFG_06,supply,铁路,12
SUP_04,MFG_01,supply,海运,11
SUP_05,MFG_01,supply,海运,4
SUP_05,MFG_05,supply,公路,8
SUP_05,MFG_02,supply,铁路,5
SUP_05,MFG_03,supply,海运,12
SUP_06,MFG_05,supply,公路,14
SUP_06,MFG_02,supply,公路,13
SUP_06,MFG_03,supply,铁路,7
SUP_06,MFG_01,supply,铁路,2
MFG_01,DST_04,supply,公路,11
MFG_01,DST_05,supply,铁路,7
MFG_01,DST_06,supply,海运,8
MFG_01,DST_03,supply,公路,5
MFG_02,DST_03,supply,海运,5
MFG_02,DST_02,supply,海运,10
MFG_02,DST_06,supply,铁路,10
MFG_02,DST_05,supply,铁路,6
MFG_03,DST_04,supply,公路,13
MFG_03,DST_02,supply,公路,14
MFG_03,DST_05,supply,公路,3
MFG_03,DST_08,supply,海运,3
MFG_04,DST_07,supply,铁路,10
MFG_04,DST_05,supply,铁路,9
MFG_04,DST_01,supply,铁路,9
MFG_04,DST_04,supply,公路,11
MFG_05,DST_02,supply,海运,6
MFG_05,DST_06,supply,公路,5
MFG_05,DST_05,supply,铁路,3
MFG_05,DST_03,supply,铁路,1
MFG_06,DST_05,supply,公路,14
MFG_06,DST_08,supply,海运,5
MFG_06,DST_02,supply,海运,9
MFG_06,DST_07,supply,海运,4
DST_01,RTL_03,supply,海运,1
DST_01,RTL_08,supply,海运,6
DST_01,RTL_02,supply,铁路,1
DST_01,RTL_05,supply,公路,6
DST_02,RTL_05,supply,海运,2
DST_02,RTL_02,supply,公路,12
DST_02,RTL_01,supply,铁路,14
DST_02,RTL_07,supply,公路,13
DST_03,RTL_03,supply,海运,3
DST_03,RTL_02,supply,铁路,9
DST_03,RTL_06,supply,海运,7
DST_03,RTL_04,supply,公路,9
DST_04,RTL_04,supply,海运,11
DST_04,RTL_06,supply,铁路,8
DST_04,RTL_03,supply,海运,8
DST_04,RTL_08,supply,公路,4
DST_05,RTL_04,supply,海运,9
DST_05,RTL_01,supply,公路,10
DST_05,RTL_03,supply,公路,1
DST_05,RTL_07,supply,公路,12
DST_06,RTL_01,supply,铁路,2
DST_06,RTL_02,supply,海运,4
DST_06,RTL_08,supply,铁路,11
DST_06,RTL_06,supply,铁路,4
DST_07,RTL_03,supply,铁路,4
DST_07,RTL_06,supply,铁路,13
DST_07,RTL_05,supply,铁路,4
DST_07,RTL_07,supply,公路,2
DST_08,RTL_07,supply,铁路,14
DST_08,RTL_03,supply,海运,1
DST_08,RTL_04,supply,海运,11
DST_08,RTL_06,supply,海运,2
