node_id,node_type,storage_capacity,plant_type,region
SUP_01,供应商,32373,C类,华东
SUP_02,供应商,8327,A类,华东
SUP_03,供应商,25939,A类,华北
SUP_04,供应商,27102,A类,华南
SUP_05,供应商,16999,B类,华南
SUP_06,供应商,47904,C类,华南
MFG_01,制造商,49983,C类,华东
MFG_02,制造商,22015,B类,华东
MFG_03,制造商,46531,C类,西南
MFG_04,制造商,27268,A类,华东
MFG_05,制造商,33708,B类,华东
MFG_06,制造商,7872,B类,华东
DST_01,分销商,11546,B类,华南
DST_02,分销商,17534,A类,华南
DST_03,分销商,35388,C类,华东
DST_04,分销商,41093,A类,华南
DST_05,分销商,28190,C类,西南
DST_06,分销商,43658,C类,华南
DST_07,分销商,28996,C类,西南
DST_08,分销商,6838,A类,华北
RTL_01,零售商,48674,A类,华东
RTL_02,零售商,8155,A类,华南
RTL_03,零售商,30734,B类,西南
RTL_04,零售商,49403,C类,华北
RTL_05,零售商,19170,B类,华北
RTL_06,零售商,5799,A类,华南
RTL_07,零售商,42943,A类,华南
RTL_08,零售商,5196,B类,华北
