node_id,node_name,node_type,level,region,vmi_flag,qr_flag
SUP_01,供应商01,供应商,0,华东,False,False
SUP_02,供应商02,供应商,0,华东,False,False
SUP_03,供应商03,供应商,0,华北,False,False
SUP_04,供应商04,供应商,0,华南,False,False
SUP_05,供应商05,供应商,0,华南,False,False
SUP_06,供应商06,供应商,0,华南,False,False
MFG_01,制造商01,制造商,1,华东,False,False
MFG_02,制造商02,制造商,1,华东,False,False
MFG_03,制造商03,制造商,1,西南,False,False
MFG_04,制造商04,制造商,1,华东,False,False
MFG_05,制造商05,制造商,1,华东,False,False
MFG_06,制造商06,制造商,1,华东,False,False
DST_01,分销商01,分销商,2,华南,True,False
DST_02,分销商02,分销商,2,华南,True,False
DST_03,分销商03,分销商,2,华东,False,False
DST_04,分销商04,分销商,2,华南,False,False
DST_05,分销商05,分销商,2,西南,False,False
DST_06,分销商06,分销商,2,华南,False,False
DST_07,分销商07,分销商,2,西南,False,False
DST_08,分销商08,分销商,2,华北,False,False
RTL_01,零售商01,零售商,3,华东,False,True
RTL_02,零售商02,零售商,3,华南,False,True
RTL_03,零售商03,零售商,3,西南,False,False
RTL_04,零售商04,零售商,3,华北,False,False
RTL_05,零售商05,零售商,3,华北,False,False
RTL_06,零售商06,零售商,3,华南,False,False
RTL_07,零售商07,零售商,3,华南,False,False
RTL_08,零售商08,零售商,3,华北,False,False
