node_id,date,metric_name,value,delay_flag
SUP_01,2025-01-01,Sales Order,547.68,0
SUP_01,2025-01-02,Sales Order,569.97,0
SUP_01,2025-01-03,Sales Order,630.21,0
SUP_01,2025-01-04,Sales Order,474.06,0
SUP_01,2025-01-05,Sales Order,338.32,0
SUP_01,2025-01-06,Sales Order,456.1,0
SUP_01,2025-01-07,Sales Order,625.15,0
SUP_01,2025-01-08,Sales Order,546.99,0
SUP_01,2025-01-09,Sales Order,302.52,0
SUP_01,2025-01-10,Sales Order,496.46,0
SUP_01,2025-01-11,Sales Order,641.09,0
SUP_01,2025-01-12,Sales Order,714.59,0
SUP_01,2025-01-13,Sales Order,556.68,0
SUP_01,2025-01-14,Sales Order,531.21,0
SUP_01,2025-01-15,Sales Order,374.85,0
SUP_01,2025-01-16,Sales Order,414.91,0
SUP_01,2025-01-17,Sales Order,504.73,0
SUP_01,2025-01-18,Sales Order,550.78,0
SUP_01,2025-01-19,Sales Order,558.55,0
SUP_01,2025-01-20,Sales Order,451.74,0
SUP_01,2025-01-21,Sales Order,383.76,0
SUP_01,2025-01-22,Sales Order,421.51,0
SUP_01,2025-01-23,Sales Order,383.25,0
SUP_01,2025-01-24,Sales Order,564.93,0
SUP_01,2025-01-25,Sales Order,266.67,0
SUP_01,2025-01-26,Sales Order,466.37,0
SUP_01,2025-01-27,Sales Order,545.4,0
SUP_01,2025-01-28,Sales Order,653.59,0
SUP_01,2025-01-29,Sales Order,507.19,0
SUP_01,2025-01-30,Sales Order,601.04,0
SUP_01,2025-01-31,Sales Order,459.74,0
SUP_01,2025-02-01,Sales Order,424.88,0
SUP_01,2025-02-02,Sales Order,431.95,0
SUP_01,2025-02-03,Sales Order,654.12,0
SUP_01,2025-02-04,Sales Order,600.33,0
SUP_01,2025-02-05,Sales Order,549.18,0
SUP_01,2025-02-06,Sales Order,836.06,0
SUP_01,2025-02-07,Sales Order,496.74,0
SUP_01,2025-02-08,Sales Order,562.6,0
SUP_01,2025-02-09,Sales Order,531.04,0
SUP_01,2025-02-10,Sales Order,477.61,0
SUP_01,2025-02-11,Sales Order,733.73,0
SUP_01,2025-02-12,Sales Order,652.03,0
SUP_01,2025-02-13,Sales Order,358.78,0
SUP_01,2025-02-14,Sales Order,459.65,0
SUP_01,2025-02-15,Sales Order,543.22,0
SUP_01,2025-02-16,Sales Order,579.03,0
SUP_01,2025-02-17,Sales Order,363.93,0
SUP_01,2025-02-18,Sales Order,272.39,0
SUP_01,2025-02-19,Sales Order,307.63,0
SUP_01,2025-02-20,Sales Order,492.82,0
SUP_01,2025-02-21,Sales Order,489.59,0
SUP_01,2025-02-22,Sales Order,534.84,0
SUP_01,2025-02-23,Sales Order,422.33,0
SUP_01,2025-02-24,Sales Order,376.46,0
SUP_01,2025-02-25,Sales Order,295.85,0
SUP_01,2025-02-26,Sales Order,533.22,0
SUP_01,2025-02-27,Sales Order,537.34,0
SUP_01,2025-02-28,Sales Order,600.2,0
SUP_01,2025-03-01,Sales Order,579.8,0
SUP_01,2025-03-02,Sales Order,480.75,0
SUP_01,2025-03-03,Sales Order,636.15,0
SUP_01,2025-03-04,Sales Order,486.24,0
SUP_01,2025-03-05,Sales Order,433.31,0
SUP_01,2025-03-06,Sales Order,447.47,0
SUP_01,2025-03-07,Sales Order,440.99,0
SUP_01,2025-03-08,Sales Order,281.45,0
SUP_01,2025-03-09,Sales Order,515.77,0
SUP_01,2025-03-10,Sales Order,525.22,0
SUP_01,2025-03-11,Sales Order,463.44,0
SUP_01,2025-03-12,Sales Order,427.97,0
SUP_01,2025-03-13,Sales Order,537.52,0
SUP_01,2025-03-14,Sales Order,673.25,0
SUP_01,2025-03-15,Sales Order,503.86,0
SUP_01,2025-03-16,Sales Order,448.77,0
SUP_01,2025-03-17,Sales Order,440.32,0
SUP_01,2025-03-18,Sales Order,492.96,0
SUP_01,2025-03-19,Sales Order,372.37,0
SUP_01,2025-03-20,Sales Order,487.36,0
SUP_01,2025-03-21,Sales Order,506.17,0
